,subject_id,mean_pretrain_val_accuracy,std_pretrain_val_accuracy,layer unfrozen,learning_rate,dW_min,mean_finetune_val_accuracy,std_finetune_val_accuracy,Delta_accuracy
4,1,0.95645,0.0503828343783872,fc1,0.0001,0.025,0.9564395,0.0503943334413701,-1.050000000002438e-05
5,1,0.95645,0.0503828343783872,fc1,0.0002,0.025,0.9564395,0.0503943334413701,-1.050000000002438e-05
6,1,0.95645,0.0503828343783872,fc1,0.0004,0.025,0.93560625,0.0430774647302198,-0.02084375
7,1,0.95645,0.0503828343783872,fc1,0.0006,0.025,0.93560625,0.0430774647302198,-0.02084375
8,1,0.95645,0.0503828343783872,fc1fc2,0.0001,0.025,0.9564395,0.0503943334413701,-1.050000000002438e-05
9,1,0.95645,0.0503828343783872,fc1fc2,0.0002,0.025,0.9564395,0.0503943334413701,-1.050000000002438e-05
10,1,0.95645,0.0503828343783872,fc1fc2,0.0004,0.025,0.93560625,0.0430774647302198,-0.02084375
11,1,0.95645,0.0503828343783872,fc1fc2,0.0006,0.025,0.93560625,0.0430774647302198,-0.02084375
12,1,0.95645,0.0503828343783872,fc2,0.0001,0.025,0.9564395,0.0503943334413701,-1.050000000002438e-05
13,1,0.95645,0.0503828343783872,fc2,0.0002,0.025,0.93560625,0.0430774647302198,-0.02084375
14,1,0.95645,0.0503828343783872,fc2,0.0004,0.025,0.93560625,0.0430774647302198,-0.02084375
15,1,0.95645,0.0503828343783872,fc2,0.0006,0.025,0.93560625,0.0430774647302198,-0.02084375
16,1,0.95645,0.0503828343783872,r1,0.0001,0.025,0.9564395,0.0503943334413701,-1.050000000002438e-05
17,1,0.95645,0.0503828343783872,r1,0.0002,0.025,0.93371225,0.0864598380998368,-0.02273775
18,1,0.95645,0.0503828343783872,r1,0.0004,0.025,0.9564395,0.0503943334413701,-1.050000000002438e-05
19,1,0.95645,0.0503828343783872,r1,0.0006,0.025,0.95833325,0.0833335,0.00188325
20,1,0.95645,0.0503828343783872,r1fc1fc2,0.0001,0.025,0.93371225,0.0864598380998368,-0.02273775
21,1,0.95645,0.0503828343783872,r1fc1fc2,0.0002,0.025,0.93371225,0.0864598380998368,-0.02273775
22,1,0.95645,0.0503828343783872,r1fc1fc2,0.0004,0.025,0.93371225,0.0864598380998368,-0.02273775
23,1,0.95645,0.0503828343783872,r1fc1fc2,0.0006,0.025,0.912879,0.0743556506214109,-0.043571
