unfrozen,q,x,mean_acc,std_acc
all,2,1.0,54.12550264550265,2.9419663916409866
all,2,2.0,73.92740740740742,2.8967035494172992
all,2,4.0,77.44804232804233,2.149376311146314
all,2,10.0,77.99830687830688,2.5253558516436154
all,2,20.0,78.28063492063492,2.474017261874812
all,4,1.0,67.39597883597884,2.9382557475472506
all,4,2.0,77.81121693121693,2.679310380009551
all,4,4.0,78.98074074074074,2.5708848163301825
all,4,10.0,79.20190476190476,2.714487024930494
all,4,20.0,79.17058201058201,2.700964486970893
all,8,1.0,71.62349206349207,3.273608788244903
all,8,2.0,78.57693121693121,2.570194351831558
all,8,4.0,79.5889947089947,2.7256193425805995
all,8,10.0,80.00275132275132,2.968696463258936
all,8,20.0,80.04931216931217,3.0574000598737987
all,16,1.0,73.83365079365079,3.40377310539138
all,16,2.0,78.73079365079366,2.4036769608599178
all,16,4.0,79.41756613756613,2.6277287030190757
all,16,10.0,79.94984126984127,2.93382632503387
all,16,20.0,79.93396825396826,2.722214980374052
all,32,1.0,74.56126984126983,3.221151895631042
all,32,2.0,78.66772486772486,2.5748238955312126
all,32,4.0,79.5557671957672,2.8944435928347567
all,32,10.0,80.31619047619047,2.9892330813253882
all,32,20.0,80.51005291005292,2.845902168044394
