w_pre,w_postq,w_postqn
0.21768895,0.333,0.333
-0.2532537,-0.333,-0.23173246
0.26210994,0.333,0.333
0.2127525,0.333,0.333
0.27513206,0.333,0.333
-0.26436543,-0.333,-0.333
-0.22561313,-0.333,-0.333
0.15464237,0.0,0.078443564
-0.3173658,-0.333,-0.20999846
0.33285213,0.333,0.333
0.07790898,0.0,-0.029875923
0.054203782,0.0,-0.13989738
-0.28147942,-0.333,-0.333
0.11005106,0.0,-0.008966156
0.14695406,0.0,-0.023467734
0.053239364,0.0,0.012728245
0.31801894,0.333,0.333
0.09692483,0.0,-0.052910663
-0.297015,-0.333,-0.333
0.28095302,0.333,0.333
0.11585977,0.0,0.008713622
-0.15907836,-0.0,-0.071849816
-0.30567363,-0.333,-0.333
0.1904708,0.333,0.333
0.3134123,0.333,0.3268174
-0.27410474,-0.333,-0.2588265
0.019313706,0.0,-0.0036044095
0.118341655,0.0,-0.026791673
-0.16181315,-0.0,0.035408325
-0.079148486,-0.0,-0.048268426
-0.21709405,-0.333,-0.17151347
-0.1530476,-0.0,0.030459609
-0.3049618,-0.333,-0.21204716
0.00032882317,0.0,0.061189264
0.20323803,0.333,0.3259237
0.16326953,0.0,-0.07548647
0.31435704,0.333,0.25456408
-0.29339078,-0.333,-0.27468002
-0.044679094,-0.0,-0.0068648392
0.32266027,0.333,0.333
0.05069151,0.0,0.035345085
-0.09857413,-0.0,0.10531263
-0.30431315,-0.333,-0.32452536
0.1497351,0.0,0.008414913
0.24657556,0.333,0.24941137
0.27166322,0.333,0.26605353
0.2800716,0.333,0.25217324
0.06485133,0.0,0.09019605
0.23731165,0.333,0.2485747
-0.080455326,-0.0,-0.010610447
0.270649,0.333,0.27891
-0.02961057,-0.0,0.110828705
-0.06857775,-0.0,-0.11748432
-0.16484965,-0.0,-0.019366827
0.18074922,0.333,0.16540942
0.14065167,0.0,-0.03389546
0.2239011,0.333,0.28862867
-0.20817304,-0.333,-0.333
-0.1701527,-0.333,-0.3079472
0.32548597,0.333,0.31034088
-0.18092312,-0.333,-0.28717643
-0.18467294,-0.333,-0.21868876
-0.08101957,-0.0,0.12787667
-0.11182738,-0.0,0.049452033
-0.2267938,-0.333,-0.24241786
0.27224064,0.333,0.24441332
0.03385511,0.0,0.080340914
0.1512203,0.0,-0.13337179
0.2497878,0.333,0.333
-0.21913706,-0.333,-0.3268807
0.25166872,0.333,0.333
-0.16644743,-0.0,-0.10138998
-0.04792432,-0.0,-0.035799507
0.25463435,0.333,0.2740095
0.31077123,0.333,0.29524887
0.2880209,0.333,0.333
0.1872503,0.333,0.27578166
0.30764264,0.333,0.19749473
-0.12507324,-0.0,0.06622041
-0.02952725,-0.0,-0.046905827
-0.12253665,-0.0,0.08704741
-0.017253324,-0.0,0.09843281
-0.036369797,-0.0,0.10595355
0.17750195,0.333,0.31839353
0.23371807,0.333,0.333
-0.23805222,-0.333,-0.333
-0.18933016,-0.333,-0.333
-0.097377725,-0.0,0.06565458
0.04552899,0.0,-0.22645947
-0.1322779,-0.0,-0.10302365
-0.2042947,-0.333,-0.29920048
-0.058846522,-0.0,0.056773834
-0.15708867,-0.0,-0.12846564
0.011298599,0.0,-0.28233835
-0.24253356,-0.333,-0.304397
-0.07702608,-0.0,-0.061190072
-0.118607014,-0.0,-0.06561558
-0.040252667,-0.0,-0.066333584
0.26941878,0.333,0.21916136
0.22139038,0.333,0.333
-0.10636956,-0.0,0.11675152
-0.30443275,-0.333,-0.2694401
-0.23568168,-0.333,-0.30879816
-0.25345212,-0.333,-0.13717884
-0.0317557,-0.0,-0.002149297
-0.1446252,-0.0,-0.11843652
-0.23048164,-0.333,-0.27310613
0.07515149,0.0,0.20348129
0.025328988,0.0,-0.043597
-0.050241545,-0.0,0.034392282
-0.12429259,-0.0,0.02508005
0.28780663,0.333,0.333
-0.3205829,-0.333,-0.28660113
-0.012722462,-0.0,-0.061631702
0.15528488,0.0,-0.028578449
0.2330982,0.333,0.2929066
-0.29406187,-0.333,-0.333
-0.055362433,-0.0,-0.0012371957
0.27692643,0.333,0.333
0.06276214,0.0,-0.006833086
0.09519732,0.0,-0.124494955
-0.14925532,-0.0,0.036968093
0.2309469,0.333,0.333
-0.13048726,-0.0,0.0059749107
-0.1858953,-0.333,-0.26895475
0.29453272,0.333,0.3167318
0.08707161,0.0,-0.0720934
-0.006238548,-0.0,0.060144152
-0.23417729,-0.333,-0.333
-0.06914953,-0.0,-0.1294706
-0.25640196,-0.333,-0.054064304
-0.23136732,-0.333,-0.333
-0.040847227,-0.0,-0.055278104
0.07180696,0.0,0.110082775
-0.26992312,-0.333,-0.26151678
0.32030624,0.333,0.20474523
0.23819211,0.333,0.333
-0.3205177,-0.333,-0.15733509
0.20510004,0.333,0.333
-0.2047145,-0.333,-0.27576855
-0.2802443,-0.333,-0.30751988
0.3077516,0.333,0.333
-0.13919623,-0.0,0.20404477
-0.117764555,-0.0,0.030484855
0.046076283,0.0,-0.090142496
0.19006567,0.333,0.333
0.024294905,0.0,0.10980007
-0.087549664,-0.0,0.030813519
0.027339663,0.0,0.02163214
-0.17511718,-0.333,-0.333
-0.24199812,-0.333,-0.27975774
0.08564424,0.0,0.025529414
0.03296796,0.0,0.07622397
0.17455186,0.333,0.333
-0.11853908,-0.0,0.07923858
-0.3300132,-0.333,-0.333
-0.07400047,-0.0,0.018807733
-0.3151502,-0.333,-0.1759497
-0.024704564,-0.0,-0.08511152
0.1709994,0.333,0.333
0.03948156,0.0,0.0027475958
0.19800399,0.333,0.28905362
0.073327646,0.0,-0.04166513
0.14892425,0.0,0.10447661
0.29214576,0.333,0.24683866
0.055351354,0.0,-0.0340019
0.055669855,0.0,-0.10627076
-0.14482139,-0.0,-0.011797563
0.20652035,0.333,0.333
0.2755647,0.333,0.21822616
-0.23910958,-0.333,-0.333
0.3218609,0.333,0.20047759
0.09890982,0.0,-0.0053980737
-0.048981808,-0.0,0.0483185
-0.30946565,-0.333,-0.333
-0.33505747,-0.333,-0.32800564
-0.26240486,-0.333,-0.333
-0.2792339,-0.333,-0.333
-0.21742329,-0.333,-0.333
-0.09273735,-0.0,-0.025827147
-0.27477366,-0.333,-0.333
-0.26918754,-0.333,-0.333
-0.023786461,-0.0,0.13330947
-0.27637064,-0.333,-0.3146929
-0.021808194,-0.0,-0.021764264
0.06980914,0.0,-0.13022731
0.069637336,0.0,-0.025927445
0.21650103,0.333,0.333
0.19250236,0.333,0.333
-0.18824163,-0.333,-0.3160222
-0.116316006,-0.0,0.09839158
0.0020809614,0.0,-0.11943861
0.2800455,0.333,0.333
0.15763314,0.0,-0.050518505
-0.19004022,-0.333,-0.24253055
-0.041933257,-0.0,0.011685169
0.057612237,0.0,-0.05008392
0.11251841,0.0,-0.16171741
-0.11980501,-0.0,-0.22108032
-0.29264778,-0.333,-0.20850196
-0.20883788,-0.333,-0.333
0.017711936,0.0,-0.038150594
-0.22017515,-0.333,-0.27277195
0.09450444,0.0,0.021307528
0.21745922,0.333,0.15130189
0.004922811,0.0,-0.020350903
0.17880452,0.333,0.23014796
0.23401532,0.333,0.31401312
0.2109339,0.333,0.333
-0.32512033,-0.333,-0.32050928
0.3002704,0.333,0.28802168
0.08601397,0.0,-0.040117633
-0.33729684,-0.333,-0.20598464
0.080958955,0.0,-0.013944278
-0.23291267,-0.333,-0.333
0.30338383,0.333,0.32438505
0.26803425,0.333,0.333
-0.22054036,-0.333,-0.28549248
-0.25162727,-0.333,-0.333
0.025740314,0.0,-0.0064888666
-0.087914035,-0.0,0.2480669
0.14063378,0.0,-0.034967303
-0.30798882,-0.333,-0.333
0.24674398,0.333,0.333
0.029847058,0.0,0.03709692
0.009656274,0.0,-0.1674403
-0.21347243,-0.333,-0.333
0.013737109,0.0,-0.054517902
0.22922038,0.333,0.333
0.3238703,0.333,0.333
-0.2163147,-0.333,-0.333
-0.14123118,-0.0,0.087852016
0.06922329,0.0,-0.13664314
0.18619424,0.333,0.23408571
-0.28441405,-0.333,-0.333
-0.12947953,-0.0,0.10476464
-0.27273762,-0.333,-0.333
0.30178797,0.333,0.333
-0.11827471,-0.0,0.04295323
0.1957764,0.333,0.333
0.17647979,0.333,0.26452526
0.024340704,0.0,0.003448024
0.061701998,0.0,0.0185995
0.2144054,0.333,0.333
-0.043383494,-0.0,-0.07830531
0.18063617,0.333,0.333
-0.047341622,-0.0,0.035330158
0.0035409152,0.0,-0.042270344
0.1174102,0.0,0.0267071
-0.30362424,-0.333,-0.32231483
-0.15811582,-0.0,-0.12714987
-0.26152706,-0.333,-0.333
-0.10757306,-0.0,-0.0017984303
-0.021156648,-0.0,0.011498315
0.14253522,0.0,-0.024867587
-0.27182364,-0.333,-0.31367084
-0.27460927,-0.333,-0.333
0.23986302,0.333,0.333
-0.038532272,-0.0,0.016852284
-0.16020693,-0.0,0.01631424
-0.0659101,-0.0,0.037545767
0.01745277,0.0,-0.08990019
-0.24116175,-0.333,-0.333
-0.31373817,-0.333,-0.333
-0.2165918,-0.333,-0.32921505
0.2683743,0.333,0.283241
0.10477759,0.0,0.0067388294
-0.328574,-0.333,-0.23187615
-0.1715537,-0.333,-0.28695408
0.26014623,0.333,0.32638705
0.32251328,0.333,0.333
0.06662257,0.0,-0.064431995
0.18173355,0.333,0.333
0.055211365,0.0,-0.039882816
0.1933348,0.333,0.333
-0.26479426,-0.333,-0.333
0.057224907,0.0,-0.039938785
-0.29529923,-0.333,-0.29300645
-0.33018062,-0.333,-0.21577017
0.2857951,0.333,0.333
0.040342946,0.0,0.041406322
0.15171726,0.0,0.07015169
-0.03880588,-0.0,-0.03023178
-0.267195,-0.333,-0.3067627
0.26339936,0.333,0.333
-0.29659852,-0.333,-0.3011626
-0.21145597,-0.333,-0.333
0.11458708,0.0,-0.014298516
-0.122844435,-0.0,0.07519843
0.08835749,0.0,-0.065956615
-0.30774304,-0.333,-0.23918796
0.12790544,0.0,0.051890217
-0.2162341,-0.333,-0.22033784
0.18733032,0.333,0.25424314
-0.034500703,-0.0,-0.013882562
-0.26624152,-0.333,-0.333
-0.074600816,-0.0,0.0074992687
-0.059118476,-0.0,-0.09764199
0.20436256,0.333,0.333
-0.1515216,-0.0,0.2205766
0.02678358,0.0,-0.036847632
-0.15398648,-0.0,-0.073784836
0.008769963,0.0,0.14109567
0.28919092,0.333,0.2391004
0.13914658,0.0,-0.09346539
0.0670838,0.0,-0.10710858
-0.30686688,-0.333,-0.333
0.19405842,0.333,0.1919738
0.31980997,0.333,0.333
0.08266399,0.0,0.08570899
0.2779024,0.333,0.333
0.14428777,0.0,-0.026090663
0.30899793,0.333,0.333
-0.044500437,-0.0,-0.1851074
-0.12359842,-0.0,0.032033503
0.17790529,0.333,0.333
-0.08659519,-0.0,-0.021512974
-0.026029507,-0.0,-0.0015489061
-0.038745876,-0.0,0.011275836
-0.11862089,-0.0,-0.23943247
0.06833989,0.0,0.16854265
-0.06565789,-0.0,-0.051356867
-0.2125927,-0.333,-0.27555144
0.31176427,0.333,0.25993365
-0.32298186,-0.333,-0.333
-0.17875293,-0.333,-0.26281592
0.30617082,0.333,0.333
-0.21113802,-0.333,-0.333
-0.2884827,-0.333,-0.2819319
0.19344278,0.333,0.333
0.32109928,0.333,0.31451625
0.23763525,0.333,0.21828628
-0.22860642,-0.333,-0.333
-0.3249203,-0.333,-0.333
-0.2959998,-0.333,-0.333
-0.00564991,-0.0,0.06454216
0.08042226,0.0,-0.12549971
-0.0036706964,-0.0,-0.07702591
0.09604604,0.0,0.09599997
-0.14785852,-0.0,-0.039259583
0.0034446619,0.0,0.07325001
0.30398995,0.333,0.333
-0.11108435,-0.0,-0.051335584
-0.24987942,-0.333,-0.333
0.29276434,0.333,0.333
0.22087938,0.333,0.32727668
0.30905688,0.333,0.2200987
0.279572,0.333,0.333
0.0037734692,0.0,-0.0212009
0.17936052,0.333,0.3272524
0.05037661,0.0,0.0688525
0.10798298,0.0,0.12778398
0.01792899,0.0,0.0709947
0.18770356,0.333,0.333
-0.09718266,-0.0,-0.13278005
-0.032613985,-0.0,0.042273186
0.17867157,0.333,0.333
0.123050176,0.0,0.07792734
0.26067692,0.333,0.333
-0.09037642,-0.0,-0.0703115
-0.06668569,-0.0,0.08078278
-0.22681972,-0.333,-0.333
-0.13983539,-0.0,-0.140078
-0.30937192,-0.333,-0.24471456
0.29444313,0.333,0.333
-0.2356779,-0.333,-0.22520374
-0.10882565,-0.0,0.13489681
0.11000225,0.0,-0.04817612
0.25300363,0.333,0.333
0.19960661,0.333,0.333
0.29192546,0.333,0.333
-0.017392473,-0.0,0.053239703
-0.14816777,-0.0,0.0132539
-0.3347759,-0.333,-0.333
0.05966065,0.0,0.0154667925
0.10896868,0.0,0.06057467
-0.026869867,-0.0,0.06493741
