x_plot,mean_plot,std_plot
1.0,47425.4,16519.738036273033
2.0,83954.6,16090.728951622385
3.0,127127.2,20539.302047884845
4.0,192589.0,34923.763661530094
5.0,247991.8,40673.30898620639
6.0,291163.2,32607.53100276807
7.0,325354.4,29267.31159305987
8.0,353095.8,26473.41647350583
9.0,373722.6,26430.447121694582
10.0,390374.8,26371.01727032046
11.0,404483.4,26488.900606034313
12.0,416310.2,26872.417370921743
13.0,425134.8,27503.126760235376
14.0,432145.0,27564.791915443366
15.0,437171.8,28045.2553366666
16.0,440847.6,28522.03157195759
17.0,443755.2,28738.552960616304
18.0,445813.4,28946.58171569143
19.0,447415.0,29043.59432077619
20.0,448797.8,29148.077110018527
