,Fold,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,subject_id
0,1,1.0,1.0,1.0,1
1,2,0.9167,0.8333,1.0,1
2,3,0.9091,0.8333,1.0,1
3,4,1.0,1.0,1.0,1
4,1,0.9167,1.0,0.8333,10
5,2,0.4545,0.5,0.4,10
6,3,0.6364,0.6667,0.6,10
7,4,0.6364,0.6667,0.6,10
8,1,0.8333,1.0,0.6667,11
9,2,0.5833,0.8333,0.3333,11
10,3,0.6364,0.8333,0.4,11
11,4,0.8,1.0,0.6,11
12,1,0.8333,1.0,0.6667,12
13,2,0.8182,0.8,0.8333,12
14,3,0.8182,0.8,0.8333,12
15,4,0.8182,1.0,0.6667,12
16,1,0.6667,0.3333,1.0,13
17,2,0.8333,0.6667,1.0,13
18,3,0.4545,0.1667,0.8,13
19,4,0.6,0.4,0.8,13
20,1,0.6667,0.8333,0.5,14
21,2,0.75,0.6667,0.8333,14
22,3,0.4545,0.4,0.5,14
23,4,0.8,1.0,0.6,14
24,1,0.9167,1.0,0.8333,15
25,2,1.0,1.0,1.0,15
26,3,0.9091,1.0,0.8,15
27,4,1.0,1.0,1.0,15
28,1,0.6667,0.6667,0.6667,16
29,2,0.75,0.6667,0.8333,16
30,3,0.7273,0.6,0.8333,16
31,4,0.6,0.6,0.6,16
32,1,0.9167,1.0,0.8333,17
33,2,0.75,0.6667,0.8333,17
34,3,0.6364,0.6667,0.6,17
35,4,0.9,1.0,0.8,17
36,1,1.0,1.0,1.0,18
37,2,1.0,1.0,1.0,18
38,3,1.0,1.0,1.0,18
39,4,1.0,1.0,1.0,18
40,1,0.9167,1.0,0.8333,19
41,2,0.75,1.0,0.5,19
42,3,0.9091,0.8333,1.0,19
43,4,0.9,0.8,1.0,19
44,1,0.9167,1.0,0.8333,2
45,2,0.8333,0.8333,0.8333,2
46,3,0.9091,0.8333,1.0,2
47,4,1.0,1.0,1.0,2
48,1,0.75,0.8333,0.6667,20
49,2,0.75,0.8333,0.6667,20
50,3,1.0,1.0,1.0,20
51,4,1.0,1.0,1.0,20
52,1,0.75,0.8333,0.6667,21
53,2,0.8182,0.8333,0.8,21
54,3,0.8182,0.6667,1.0,21
55,4,0.6364,0.3333,1.0,21
56,1,1.0,1.0,1.0,3
57,2,0.9167,1.0,0.8333,3
58,3,1.0,1.0,1.0,3
59,4,1.0,1.0,1.0,3
60,1,0.9167,1.0,0.8333,4
61,2,0.75,0.6667,0.8333,4
62,3,0.6364,0.8333,0.4,4
63,4,0.8,1.0,0.6,4
64,1,0.75,1.0,0.5,5
65,2,0.7273,0.8,0.6667,5
66,3,0.6364,0.8,0.5,5
67,4,0.4545,0.4,0.5,5
68,1,0.8333,0.6667,1.0,6
69,2,0.9091,0.8333,1.0,6
70,3,1.0,1.0,1.0,6
71,4,0.9091,0.8333,1.0,6
72,1,1.0,1.0,1.0,7
73,2,0.9167,0.8333,1.0,7
74,3,0.9091,1.0,0.8,7
75,4,0.9,1.0,0.8,7
76,1,0.6667,0.8333,0.5,8
77,2,0.5,0.6667,0.3333,8
78,3,0.7273,1.0,0.5,8
79,4,0.7,0.6,0.8,8
80,1,1.0,1.0,1.0,9
81,2,0.8182,0.6667,1.0,9
82,3,0.8182,0.6667,1.0,9
83,4,0.8182,0.8333,0.8,9
84,1,1.0,1.0,1.0,22
85,2,1.0,1.0,1.0,22
86,3,1.0,1.0,1.0,22
87,4,1.0,1.0,1.0,22
88,1,0.6667,0.5,0.8333,23
89,2,0.75,0.5,1.0,23
90,3,0.8182,0.8,0.8333,23
91,4,0.7,0.4,1.0,23
92,1,0.8333,0.8333,0.8333,24
93,2,0.6667,0.5,0.8333,24
94,3,0.9091,1.0,0.8333,24
95,4,0.8,0.6,1.0,24
96,1,0.5,0.3333,0.6667,25
97,2,0.5833,0.5,0.6667,25
98,3,0.6364,0.6,0.6667,25
99,4,0.4,0.0,0.8,25
100,1,0.5833,0.5,0.6667,26
101,2,0.3636,0.1667,0.6,26
102,3,0.4545,0.5,0.4,26
103,4,0.2727,0.1667,0.4,26
104,1,0.8333,0.8333,0.8333,27
105,2,0.8333,0.6667,1.0,27
106,3,0.9091,1.0,0.8,27
107,4,0.9,1.0,0.8,27
108,1,0.75,0.8333,0.6667,28
109,2,0.8333,1.0,0.6667,28
110,3,0.8182,1.0,0.6667,28
111,4,0.7,0.6,0.8,28
112,1,0.75,0.6667,0.8333,29
113,2,0.5833,0.6667,0.5,29
114,3,0.7273,0.6667,0.8,29
115,4,0.5,0.6,0.4,29
116,1,0.8333,1.0,0.6667,30
117,2,0.8182,0.8333,0.8,30
118,3,0.8182,0.8333,0.8,30
119,4,0.9091,0.8333,1.0,30
120,1,0.8333,0.8333,0.8333,31
121,2,0.8333,0.8333,0.8333,31
122,3,1.0,1.0,1.0,31
123,4,1.0,1.0,1.0,31
124,1,0.9167,1.0,0.8333,32
125,2,0.9091,1.0,0.8333,32
126,3,1.0,1.0,1.0,32
127,4,1.0,1.0,1.0,32
128,1,0.75,0.8333,0.6667,33
129,2,0.8333,0.8333,0.8333,33
130,3,0.7273,0.8333,0.6,33
131,4,0.9,1.0,0.8,33
132,1,0.75,0.6667,0.8333,34
133,2,0.4545,0.2,0.6667,34
134,3,0.7273,0.4,1.0,34
135,4,0.7273,0.8,0.6667,34
136,1,0.9167,0.8333,1.0,35
137,2,0.8333,0.6667,1.0,35
138,3,0.8182,0.6,1.0,35
139,4,1.0,1.0,1.0,35
140,1,1.0,1.0,1.0,36
141,2,0.75,0.8333,0.6667,36
142,3,1.0,1.0,1.0,36
143,4,0.8,0.8,0.8,36
144,1,0.75,0.6667,0.8333,37
145,2,0.75,0.5,1.0,37
146,3,0.6364,0.6667,0.6,37
147,4,0.6,0.4,0.8,37
148,1,0.5833,0.8333,0.3333,38
149,2,0.6667,0.5,0.8333,38
150,3,0.1818,0.3333,0.0,38
151,4,0.4,0.6,0.2,38
152,1,0.5833,0.8333,0.3333,39
153,2,0.8333,1.0,0.6667,39
154,3,0.9091,0.8333,1.0,39
155,4,0.6,0.6,0.6,39
156,1,0.9167,0.8333,1.0,40
157,2,1.0,1.0,1.0,40
158,3,1.0,1.0,1.0,40
159,4,1.0,1.0,1.0,40
160,1,0.8333,0.6667,1.0,41
161,2,0.8182,0.8333,0.8,41
162,3,0.7273,0.6667,0.8,41
163,4,0.7273,0.6667,0.8,41
164,1,0.8333,1.0,0.6667,42
165,2,0.8333,0.6667,1.0,42
166,3,0.7273,0.6,0.8333,42
167,4,0.8,0.8,0.8,42
168,1,1.0,1.0,1.0,43
169,2,0.9167,0.8333,1.0,43
170,3,0.8182,1.0,0.6,43
171,4,1.0,1.0,1.0,43
172,1,0.75,1.0,0.5,44
173,2,0.75,0.8333,0.6667,44
174,3,0.6364,0.8,0.5,44
175,4,0.8,1.0,0.6,44
176,1,0.5833,0.6667,0.5,45
177,2,0.8333,0.6667,1.0,45
178,3,0.7273,0.8333,0.6,45
179,4,0.7,0.6,0.8,45
180,1,0.5,0.3333,0.6667,46
181,2,0.75,0.6667,0.8333,46
182,3,0.5455,0.5,0.6,46
183,4,0.9,0.8,1.0,46
184,1,0.5833,0.5,0.6667,47
185,2,0.9091,1.0,0.8,47
186,3,0.7273,0.8333,0.6,47
187,4,0.7273,0.6667,0.8,47
188,1,1.0,1.0,1.0,48
189,2,0.9167,1.0,0.8333,48
190,3,1.0,1.0,1.0,48
191,4,1.0,1.0,1.0,48
192,1,0.9167,0.8333,1.0,49
193,2,0.8333,0.6667,1.0,49
194,3,0.7273,0.6667,0.8,49
195,4,0.5,0.2,0.8,49
196,1,0.5,0.8333,0.1667,50
197,2,0.75,0.6667,0.8333,50
198,3,0.9091,1.0,0.8,50
199,4,0.9,1.0,0.8,50
200,1,0.75,0.6667,0.8333,51
201,2,0.8182,1.0,0.6,51
202,3,0.6364,0.5,0.8,51
203,4,0.8182,0.8333,0.8,51
204,1,0.9167,1.0,0.8333,52
205,2,0.9091,0.8333,1.0,52
