Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.701535,0.584803,0.908108,0.258856,0.602116,0.00010000
pretrain,2,0.690124,0.584803,0.935135,0.231608,0.586243,0.00009945
pretrain,3,0.671278,0.758480,0.778378,0.738420,0.734392,0.00009780
pretrain,4,0.570016,0.781547,0.789189,0.773842,0.774603,0.00009510
pretrain,5,0.485158,0.786974,0.743243,0.831063,0.791534,0.00009141
pretrain,6,0.469949,0.791045,0.894595,0.686649,0.801058,0.00008682
pretrain,7,0.438060,0.800543,0.813514,0.787466,0.815873,0.00008145
pretrain,8,0.446348,0.814111,0.778378,0.850136,0.810582,0.00007543
pretrain,9,0.423749,0.808684,0.821622,0.795640,0.820106,0.00006891
pretrain,10,0.409064,0.807327,0.797297,0.817439,0.807407,0.00006204
pretrain,11,0.405998,0.818182,0.805405,0.831063,0.815873,0.00005500
pretrain,12,0.413053,0.800543,0.810811,0.790191,0.822222,0.00004796
pretrain,13,0.384788,0.810041,0.802703,0.817439,0.822222,0.00004109
pretrain,14,0.384131,0.793758,0.794595,0.792916,0.820106,0.00003457
pretrain,15,0.379074,0.796472,0.791892,0.801090,0.821164,0.00002855
pretrain,16,0.377835,0.786974,0.781081,0.792916,0.829630,0.00002318
pretrain,17,0.370649,0.795115,0.778378,0.811989,0.827513,0.00001859
pretrain,18,0.369010,0.797829,0.781081,0.814714,0.823280,0.00001490
pretrain,19,0.371707,0.799186,0.783784,0.814714,0.823280,0.00001220
pretrain,20,0.364168,0.792402,0.791892,0.792916,0.828571,0.00001055
