Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,LTP_crossings,LTD_crossings
pretrain,1,1,64,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,6,384,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,11,704,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,16,1024,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,21,1344,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,26,1664,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,31,1984,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,36,2304,0.497965,0.000000,1.000000,0.488889,0,0
pretrain,1,41,2624,0.497965,0.000000,1.000000,0.488889,44,59
pretrain,1,47,2953,0.499322,0.002703,1.000000,0.488889,435,508
pretrain,2,1,3017,0.500678,0.005405,1.000000,0.491005,174,147
pretrain,2,6,3337,0.522388,0.067568,0.980926,0.506878,1027,919
pretrain,2,11,3657,0.542741,0.221622,0.866485,0.547090,1927,1656
pretrain,2,16,3977,0.549525,0.256757,0.844687,0.540741,2780,2211
pretrain,2,21,4297,0.556309,0.289189,0.825613,0.541799,3368,2713
pretrain,2,26,4617,0.563094,0.313514,0.814714,0.551323,3766,3212
pretrain,2,31,4937,0.557666,0.321622,0.795640,0.555556,4196,3646
pretrain,2,36,5257,0.550882,0.270270,0.833787,0.541799,4755,4088
pretrain,2,41,5577,0.571235,0.427027,0.716621,0.572487,5501,4455
pretrain,2,47,5906,0.586160,0.486486,0.686649,0.597884,6253,4799
pretrain,3,1,5970,0.594301,0.508108,0.681199,0.611640,96,54
pretrain,3,6,6290,0.605156,0.521622,0.689373,0.621164,547,322
pretrain,3,11,6610,0.635007,0.562162,0.708447,0.624339,954,614
pretrain,3,16,6930,0.620081,0.540541,0.700272,0.634921,1293,915
pretrain,3,21,7250,0.635007,0.578378,0.692098,0.639153,1616,1257
pretrain,3,26,7570,0.626866,0.616216,0.637602,0.647619,1890,1602
pretrain,3,31,7890,0.649932,0.681081,0.618529,0.660317,2178,1956
pretrain,3,36,8210,0.666214,0.713514,0.618529,0.657143,2496,2310
pretrain,3,41,8530,0.662144,0.713514,0.610354,0.665608,2833,2623
pretrain,3,47,8859,0.660787,0.689189,0.632153,0.675132,3321,3054
pretrain,4,1,8923,0.667571,0.686486,0.648501,0.659259,103,56
pretrain,4,6,9243,0.656716,0.662162,0.651226,0.663492,552,390
pretrain,4,11,9563,0.658073,0.627027,0.689373,0.665608,1124,789
pretrain,4,16,9883,0.644505,0.551351,0.738420,0.659259,1682,1248
pretrain,4,21,10203,0.655360,0.524324,0.787466,0.664550,2532,1958
pretrain,4,26,10523,0.667571,0.545946,0.790191,0.664550,3400,2819
pretrain,4,31,10843,0.672999,0.537838,0.809264,0.676190,4344,3948
pretrain,4,36,11163,0.674355,0.570270,0.779292,0.674074,5421,5085
pretrain,4,41,11483,0.689281,0.648649,0.730245,0.693122,6512,6181
pretrain,4,47,11812,0.705563,0.745946,0.664850,0.704762,7706,7580
pretrain,5,1,11876,0.709634,0.762162,0.656676,0.705820,231,283
pretrain,5,6,12196,0.717775,0.835135,0.599455,0.719577,1535,1599
pretrain,5,11,12516,0.717775,0.832432,0.602180,0.718519,2840,2855
pretrain,5,16,12836,0.724559,0.821622,0.626703,0.721693,4172,4200
pretrain,5,21,13156,0.732700,0.808108,0.656676,0.723810,5732,5764
pretrain,5,26,13476,0.734057,0.810811,0.656676,0.726984,7403,7676
pretrain,5,31,13796,0.731343,0.856757,0.604905,0.735450,9202,9589
pretrain,5,36,14116,0.744912,0.859459,0.629428,0.732275,11303,11689
pretrain,5,41,14436,0.759837,0.800000,0.719346,0.734392,13516,14139
pretrain,5,47,14765,0.753053,0.870270,0.634877,0.748148,16061,17148
pretrain,6,1,14829,0.742198,0.886486,0.596730,0.749206,452,444
pretrain,6,6,15149,0.744912,0.916216,0.572207,0.749206,2344,2528
pretrain,6,11,15469,0.772049,0.832432,0.711172,0.764021,4144,4582
pretrain,6,16,15789,0.778833,0.756757,0.801090,0.768254,6024,6765
pretrain,6,21,16109,0.770692,0.829730,0.711172,0.764021,8435,9050
pretrain,6,26,16429,0.767978,0.848649,0.686649,0.759788,10883,11465
pretrain,6,31,16749,0.776119,0.818919,0.732970,0.767196,12915,13921
pretrain,6,36,17069,0.774763,0.775676,0.773842,0.774603,15106,16424
pretrain,6,41,17389,0.778833,0.805405,0.752044,0.776720,17354,18782
pretrain,6,47,17718,0.782904,0.810811,0.754768,0.782011,19558,21448
pretrain,7,1,17782,0.780190,0.821622,0.738420,0.776720,361,448
pretrain,7,6,18102,0.769335,0.918919,0.618529,0.754497,2543,2925
pretrain,7,11,18422,0.781547,0.900000,0.662125,0.768254,3794,4813
pretrain,7,16,18742,0.792402,0.810811,0.773842,0.786243,5595,6982
pretrain,7,21,19062,0.766621,0.616216,0.918256,0.748148,7382,9172
pretrain,7,26,19382,0.762551,0.605405,0.920981,0.750265,8245,10370
pretrain,7,31,19702,0.778833,0.667568,0.891008,0.776720,9475,11805
pretrain,7,36,20022,0.799186,0.789189,0.809264,0.791534,11133,13679
pretrain,7,41,20342,0.791045,0.837838,0.743869,0.790476,12160,15184
pretrain,7,47,20671,0.785617,0.889189,0.681199,0.778836,13411,16807
pretrain,8,1,20735,0.786974,0.891892,0.681199,0.776720,154,244
pretrain,8,6,21055,0.788331,0.891892,0.683924,0.775661,879,1385
pretrain,8,11,21375,0.789688,0.878378,0.700272,0.784127,1569,2601
pretrain,8,16,21695,0.795115,0.859459,0.730245,0.792593,2341,3897
pretrain,8,21,22015,0.792402,0.832432,0.752044,0.796825,3238,5145
pretrain,8,26,22335,0.801900,0.791892,0.811989,0.800000,4272,6415
pretrain,8,31,22655,0.795115,0.737838,0.852861,0.796825,5147,7466
pretrain,8,36,22975,0.793758,0.727027,0.861035,0.794709,5745,8250
pretrain,8,41,23295,0.800543,0.745946,0.855586,0.800000,6225,8969
pretrain,8,47,23624,0.801900,0.762162,0.841962,0.800000,6973,10064
pretrain,9,1,23688,0.797829,0.767568,0.828338,0.801058,146,214
pretrain,9,6,24008,0.791045,0.775676,0.806540,0.796825,957,1378
pretrain,9,11,24328,0.795115,0.800000,0.790191,0.797884,1645,2394
pretrain,9,16,24648,0.799186,0.821622,0.776567,0.801058,2454,3364
pretrain,9,21,24968,0.801900,0.843243,0.760218,0.800000,3223,4113
pretrain,9,26,25288,0.804613,0.867568,0.741144,0.798942,3927,4774
pretrain,9,31,25608,0.801900,0.856757,0.746594,0.801058,4434,5394
pretrain,9,36,25928,0.801900,0.851351,0.752044,0.802116,4957,6051
pretrain,9,41,26248,0.800543,0.848649,0.752044,0.800000,5417,6727
pretrain,9,47,26577,0.803256,0.832432,0.773842,0.805291,6061,7607
pretrain,10,1,26641,0.801900,0.827027,0.776567,0.805291,100,147
pretrain,10,6,26961,0.800543,0.810811,0.790191,0.809524,665,848
pretrain,10,11,27281,0.799186,0.797297,0.801090,0.808466,1183,1552
pretrain,10,16,27601,0.801900,0.800000,0.803815,0.809524,1647,2196
pretrain,10,21,27921,0.801900,0.808108,0.795640,0.810582,2151,2790
pretrain,10,26,28241,0.804613,0.810811,0.798365,0.812698,2603,3324
pretrain,10,31,28561,0.801900,0.805405,0.798365,0.813757,3119,3890
pretrain,10,36,28881,0.803256,0.808108,0.798365,0.805291,3606,4399
pretrain,10,41,29201,0.805970,0.813514,0.798365,0.810582,4027,4895
pretrain,10,47,29530,0.804613,0.810811,0.798365,0.806349,4544,5456
pretrain,11,1,29594,0.803256,0.808108,0.798365,0.809524,107,117
pretrain,11,6,29914,0.803256,0.808108,0.798365,0.807407,692,640
pretrain,11,11,30234,0.804613,0.816216,0.792916,0.807407,1202,1132
pretrain,11,16,30554,0.805970,0.818919,0.792916,0.809524,1763,1668
pretrain,11,21,30874,0.812754,0.821622,0.803815,0.808466,2309,2136
pretrain,11,26,31194,0.811398,0.816216,0.806540,0.806349,2767,2577
pretrain,11,31,31514,0.816825,0.824324,0.809264,0.804233,3208,2986
pretrain,11,36,31834,0.812754,0.821622,0.803815,0.812698,3595,3391
pretrain,11,41,32154,0.812754,0.821622,0.803815,0.808466,3991,3802
pretrain,11,47,32483,0.811398,0.824324,0.798365,0.805291,4449,4316
pretrain,12,1,32547,0.812754,0.821622,0.803815,0.803175,64,82
pretrain,12,6,32867,0.811398,0.816216,0.806540,0.806349,505,529
