Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy
pretrain,1,1,64,0.507363,0.941645,0.064865,0.523333
pretrain,1,6,384,0.532798,0.978780,0.078378,0.562222
pretrain,1,11,704,0.504685,1.000000,0.000000,0.501111
pretrain,1,16,1024,0.504685,1.000000,0.000000,0.501111
pretrain,1,21,1344,0.504685,1.000000,0.000000,0.501111
pretrain,1,26,1664,0.580991,0.827586,0.329730,0.605556
pretrain,1,31,1984,0.531459,0.933687,0.121622,0.557778
pretrain,1,36,2304,0.510040,0.984085,0.027027,0.528889
pretrain,1,41,2624,0.511379,0.978780,0.035135,0.533333
pretrain,1,47,2988,0.510040,0.994695,0.016216,0.518889
pretrain,2,1,3052,0.511379,0.992042,0.021622,0.523333
pretrain,2,6,3372,0.540830,0.941645,0.132432,0.556667
pretrain,2,11,3692,0.590361,0.851459,0.324324,0.611111
pretrain,2,16,4012,0.645248,0.745358,0.543243,0.661111
pretrain,2,21,4332,0.659973,0.668435,0.651351,0.672222
pretrain,2,26,4652,0.639893,0.795756,0.481081,0.668889
pretrain,2,31,4972,0.630522,0.830239,0.427027,0.662222
pretrain,2,36,5292,0.680054,0.748011,0.610811,0.687778
pretrain,2,41,5612,0.645248,0.875332,0.410811,0.665556
pretrain,2,47,5976,0.678715,0.793103,0.562162,0.706667
pretrain,3,1,6040,0.689424,0.755968,0.621622,0.713333
pretrain,3,6,6360,0.696118,0.572944,0.821622,0.708889
pretrain,3,11,6680,0.720214,0.702918,0.737838,0.734444
pretrain,3,16,7000,0.710843,0.803714,0.616216,0.742222
pretrain,3,21,7320,0.745649,0.660477,0.832432,0.746667
pretrain,3,26,7640,0.716198,0.875332,0.554054,0.755556
pretrain,3,31,7960,0.748327,0.649867,0.848649,0.745556
pretrain,3,36,8280,0.693440,0.912467,0.470270,0.736667
pretrain,3,41,8600,0.746988,0.830239,0.662162,0.768889
pretrain,3,47,8964,0.748327,0.811671,0.683784,0.766667
pretrain,4,1,9028,0.713521,0.893899,0.529730,0.758889
pretrain,4,6,9348,0.752343,0.774536,0.729730,0.774444
pretrain,4,11,9668,0.746988,0.641910,0.854054,0.755556
pretrain,4,16,9988,0.767068,0.692308,0.843243,0.775556
pretrain,4,21,10308,0.764391,0.811671,0.716216,0.772222
pretrain,4,26,10628,0.753681,0.806366,0.700000,0.770000
pretrain,4,31,10948,0.767068,0.790451,0.743243,0.781111
pretrain,4,36,11268,0.760375,0.641910,0.881081,0.773333
pretrain,4,41,11588,0.749665,0.891247,0.605405,0.768889
pretrain,4,47,11952,0.764391,0.843501,0.683784,0.784444
pretrain,5,1,12016,0.757697,0.864721,0.648649,0.783333
pretrain,5,6,12336,0.779116,0.676393,0.883784,0.771111
pretrain,5,11,12656,0.763052,0.835544,0.689189,0.786667
pretrain,5,16,12976,0.753681,0.851459,0.654054,0.794444
pretrain,5,21,13296,0.771084,0.814324,0.727027,0.793333
pretrain,5,26,13616,0.708166,0.946950,0.464865,0.762222
pretrain,5,31,13936,0.755020,0.575597,0.937838,0.748889
pretrain,5,36,14256,0.773762,0.795756,0.751351,0.794444
pretrain,5,41,14576,0.777778,0.819629,0.735135,0.794444
pretrain,5,47,14940,0.757697,0.610080,0.908108,0.761111
pretrain,6,1,15004,0.763052,0.631300,0.897297,0.764444
pretrain,6,6,15324,0.780455,0.835544,0.724324,0.790000
pretrain,6,11,15644,0.783133,0.832891,0.732432,0.794444
pretrain,6,16,15964,0.788487,0.758621,0.818919,0.786667
pretrain,6,21,16284,0.783133,0.705570,0.862162,0.781111
pretrain,6,26,16604,0.788487,0.793103,0.783784,0.794444
pretrain,6,31,16924,0.776439,0.856764,0.694595,0.793333
pretrain,6,36,17244,0.781794,0.708223,0.856757,0.791111
pretrain,6,41,17564,0.791165,0.832891,0.748649,0.795556
pretrain,6,47,17928,0.795181,0.748011,0.843243,0.792222
pretrain,7,1,17992,0.780455,0.705570,0.856757,0.791111
pretrain,7,6,18312,0.772423,0.676393,0.870270,0.780000
pretrain,7,11,18632,0.793842,0.827586,0.759459,0.804444
pretrain,7,16,18952,0.785810,0.859416,0.710811,0.797778
pretrain,7,21,19272,0.785810,0.716180,0.856757,0.786667
pretrain,7,26,19592,0.783133,0.732095,0.835135,0.791111
pretrain,7,31,19912,0.796519,0.824934,0.767568,0.803333
pretrain,7,36,20232,0.792503,0.830239,0.754054,0.797778
pretrain,7,41,20552,0.793842,0.755968,0.832432,0.795556
pretrain,7,47,20916,0.796519,0.824934,0.767568,0.806667
pretrain,8,1,20980,0.792503,0.840849,0.743243,0.805556
pretrain,8,6,21300,0.801874,0.809019,0.794595,0.801111
pretrain,8,11,21620,0.804552,0.790451,0.818919,0.794444
pretrain,8,16,21940,0.809906,0.787798,0.832432,0.794444
pretrain,8,21,22260,0.799197,0.758621,0.840541,0.792222
pretrain,8,26,22580,0.807229,0.809019,0.805405,0.804444
pretrain,8,31,22900,0.800535,0.838196,0.762162,0.804444
pretrain,8,36,23220,0.800535,0.769231,0.832432,0.797778
pretrain,8,41,23540,0.789826,0.710875,0.870270,0.790000
pretrain,8,47,23904,0.805890,0.769231,0.843243,0.792222
pretrain,9,1,23968,0.809906,0.787798,0.832432,0.796667
pretrain,9,6,24288,0.787149,0.827586,0.745946,0.802222
pretrain,9,11,24608,0.779116,0.687003,0.872973,0.787778
pretrain,9,16,24928,0.785810,0.700265,0.872973,0.795556
pretrain,9,21,25248,0.797858,0.827586,0.767568,0.810000
pretrain,9,26,25568,0.788487,0.856764,0.718919,0.801111
pretrain,9,31,25888,0.797858,0.832891,0.762162,0.807778
pretrain,9,36,26208,0.787149,0.705570,0.870270,0.794444
pretrain,9,41,26528,0.785810,0.694960,0.878378,0.786667
pretrain,9,47,26892,0.800535,0.838196,0.762162,0.813333
pretrain,10,1,26956,0.796519,0.843501,0.748649,0.812222
pretrain,10,6,27276,0.791165,0.835544,0.745946,0.812222
pretrain,10,11,27596,0.803213,0.798408,0.808108,0.804444
pretrain,10,16,27916,0.796519,0.748011,0.845946,0.796667
pretrain,10,21,28236,0.792503,0.785146,0.800000,0.801111
pretrain,10,26,28556,0.789826,0.816976,0.762162,0.794444
pretrain,10,31,28876,0.792503,0.816976,0.767568,0.804444
pretrain,10,36,29196,0.807229,0.801061,0.813514,0.807778
pretrain,10,41,29516,0.799197,0.745358,0.854054,0.795556
pretrain,10,47,29880,0.803213,0.745358,0.862162,0.797778
pretrain,11,1,29944,0.808568,0.769231,0.848649,0.801111
pretrain,11,6,30264,0.791165,0.824934,0.756757,0.805556
pretrain,11,11,30584,0.791165,0.814324,0.767568,0.802222
pretrain,11,16,30904,0.799197,0.758621,0.840541,0.802222
pretrain,11,21,31224,0.787149,0.673740,0.902703,0.791111
pretrain,11,26,31544,0.801874,0.721485,0.883784,0.792222
pretrain,11,31,31864,0.807229,0.790451,0.824324,0.802222
pretrain,11,36,32184,0.796519,0.840849,0.751351,0.811111
pretrain,11,41,32504,0.795181,0.848806,0.740541,0.807778
pretrain,11,47,32868,0.801874,0.798408,0.805405,0.800000
pretrain,12,1,32932,0.800535,0.790451,0.810811,0.797778
pretrain,12,6,33252,0.799197,0.769231,0.829730,0.800000
pretrain,12,11,33572,0.808568,0.795756,0.821622,0.801111
pretrain,12,16,33892,0.812584,0.809019,0.816216,0.806667
pretrain,12,21,34212,0.811245,0.771883,0.851351,0.802222
pretrain,12,26,34532,0.799197,0.748011,0.851351,0.802222
pretrain,12,31,34852,0.815261,0.793103,0.837838,0.806667
pretrain,12,36,35172,0.808568,0.819629,0.797297,0.804444
pretrain,12,41,35492,0.809906,0.824934,0.794595,0.808889
pretrain,12,47,35856,0.809906,0.755968,0.864865,0.795556
pretrain,13,1,35920,0.804552,0.745358,0.864865,0.795556
pretrain,13,6,36240,0.815261,0.779841,0.851351,0.798889
pretrain,13,11,36560,0.808568,0.811671,0.805405,0.814444
pretrain,13,16,36880,0.800535,0.795756,0.805405,0.814444
pretrain,13,21,37200,0.811245,0.811671,0.810811,0.815556
pretrain,13,26,37520,0.820616,0.819629,0.821622,0.810000
pretrain,13,31,37840,0.807229,0.803714,0.810811,0.807778
pretrain,13,36,38160,0.803213,0.779841,0.827027,0.804444
pretrain,13,41,38480,0.813922,0.777188,0.851351,0.803333
pretrain,13,47,38844,0.804552,0.740053,0.870270,0.806667
pretrain,14,1,38908,0.805890,0.748011,0.864865,0.808889
pretrain,14,6,39228,0.809906,0.748011,0.872973,0.805556
pretrain,14,11,39548,0.811245,0.782493,0.840541,0.807778
pretrain,14,16,39868,0.804552,0.814324,0.794595,0.806667
pretrain,14,21,40188,0.804552,0.819629,0.789189,0.808889
pretrain,14,26,40508,0.807229,0.793103,0.821622,0.806667
pretrain,14,31,40828,0.808568,0.785146,0.832432,0.802222
pretrain,14,36,41148,0.808568,0.785146,0.832432,0.804444
pretrain,14,41,41468,0.809906,0.795756,0.824324,0.804444
pretrain,14,47,41832,0.816600,0.790451,0.843243,0.803333
pretrain,15,1,41896,0.812584,0.785146,0.840541,0.806667
pretrain,15,6,42216,0.809906,0.798408,0.821622,0.803333
pretrain,15,11,42536,0.816600,0.809019,0.824324,0.806667
pretrain,15,16,42856,0.811245,0.801061,0.821622,0.805556
pretrain,15,21,43176,0.812584,0.785146,0.840541,0.806667
pretrain,15,26,43496,0.809906,0.777188,0.843243,0.806667
pretrain,15,31,43816,0.815261,0.790451,0.840541,0.806667
pretrain,15,36,44136,0.812584,0.787798,0.837838,0.806667
pretrain,15,41,44456,0.815261,0.793103,0.837838,0.812222
pretrain,15,47,44820,0.812584,0.803714,0.821622,0.813333
pretrain,16,1,44884,0.813922,0.809019,0.818919,0.812222
pretrain,16,6,45204,0.813922,0.806366,0.821622,0.813333
pretrain,16,11,45524,0.813922,0.798408,0.829730,0.811111
pretrain,16,16,45844,0.811245,0.777188,0.845946,0.813333
pretrain,16,21,46164,0.805890,0.750663,0.862162,0.807778
pretrain,16,26,46484,0.805890,0.755968,0.856757,0.812222
pretrain,16,31,46804,0.811245,0.779841,0.843243,0.808889
pretrain,16,36,47124,0.815261,0.809019,0.821622,0.810000
pretrain,16,41,47444,0.819277,0.814324,0.824324,0.815556
pretrain,16,47,47808,0.816600,0.809019,0.824324,0.816667
pretrain,17,1,47872,0.813922,0.806366,0.821622,0.814444
pretrain,17,6,48192,0.811245,0.790451,0.832432,0.814444
pretrain,17,11,48512,0.808568,0.782493,0.835135,0.813333
