Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
pretrain,1,0.699982,0.510040,0.994695,0.016216,0.518889,0.00010000
pretrain,2,0.686394,0.678715,0.793103,0.562162,0.706667,0.00009945
pretrain,3,0.633572,0.748327,0.811671,0.683784,0.766667,0.00009780
pretrain,4,0.519546,0.764391,0.843501,0.683784,0.784444,0.00009510
pretrain,5,0.482978,0.757697,0.610080,0.908108,0.761111,0.00009141
pretrain,6,0.443589,0.795181,0.748011,0.843243,0.792222,0.00008682
pretrain,7,0.426612,0.796519,0.824934,0.767568,0.806667,0.00008145
pretrain,8,0.418243,0.805890,0.769231,0.843243,0.792222,0.00007543
pretrain,9,0.411144,0.800535,0.838196,0.762162,0.813333,0.00006891
pretrain,10,0.403219,0.803213,0.745358,0.862162,0.797778,0.00006204
pretrain,11,0.400463,0.801874,0.798408,0.805405,0.800000,0.00005500
pretrain,12,0.384644,0.809906,0.755968,0.864865,0.795556,0.00004796
pretrain,13,0.382022,0.804552,0.740053,0.870270,0.806667,0.00004109
pretrain,14,0.376425,0.816600,0.790451,0.843243,0.803333,0.00003457
pretrain,15,0.366687,0.812584,0.803714,0.821622,0.813333,0.00002855
pretrain,16,0.364923,0.816600,0.809019,0.824324,0.816667,0.00002318
pretrain,17,0.363858,0.805890,0.793103,0.818919,0.817778,0.00001859
pretrain,18,0.353088,0.811245,0.766578,0.856757,0.812222,0.00001490
pretrain,19,0.353255,0.813922,0.795756,0.832432,0.813333,0.00001220
pretrain,20,0.353723,0.813922,0.795756,0.832432,0.818889,0.00001055
