Phase,Epoch,Train_Loss,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy,learning_rate
finetune,1,0.524700,0.805970,0.824324,0.787466,0.806349,0.00010000
finetune,2,0.457353,0.801900,0.802703,0.801090,0.804233,0.00009945
finetune,3,0.433745,0.795115,0.851351,0.738420,0.816931,0.00009780
finetune,4,0.419176,0.808684,0.797297,0.820163,0.808466,0.00009510
finetune,5,0.413973,0.812754,0.810811,0.814714,0.814815,0.00009141
finetune,6,0.400134,0.804613,0.772973,0.836512,0.813757,0.00008682
finetune,7,0.407717,0.805970,0.778378,0.833787,0.815873,0.00008145
finetune,8,0.399736,0.804613,0.802703,0.806540,0.827513,0.00007543
finetune,9,0.384209,0.796472,0.854054,0.738420,0.821164,0.00006891
finetune,10,0.379625,0.803256,0.821622,0.784741,0.831746,0.00006204
