Export_timestamp:	2025-11-13T19:55:46
Instrument_IDN:	Keysight Technologies,B2912B,MY63320353,5.0.2331.95
Chip:	NASA-FTJ-04
Device:	05-29
Area:	8300.0
Data_path:	C:\Scratch\Data\Nathan\NextCloud\06 - FeCAP-FTJ\02 - Data\00 - SMU\01 - PWR\NASA-FTJ-04
Device_area_m2:	8300.0
Vwrite_step_V:	0.05
Vmax_pos_V:	1
Vmax_neg_V:	-1.25
Vread_min_V:	
Vread_max_V:	
Read_points:	20
read_tail_avg_points:	10
pulse_duration_s:	0.0005
idle_between_ops_s:	1
nplc:	20
settle_s:	0.25
four_wire:	False
current_limit_A:	0.0008
Cycles_measured:	460

cycle	V_write	R_neg_ohm	R_pos_ohm	I_neg_A	I_pos_A	J_neg_A_per_m2	J_pos_A_per_m2	Vread_min_V	Vread_max_V
1	0.0	9075961.2977725	14548483.7765319	8.81449329446064e-09	6.873568513119533e-09	1.0619871439109205e-12	8.281407847131967e-13	-0.08	0.1
2	0.05	11003274.035417072	15039849.022716751	7.27056326530612e-09	6.649002915451894e-09	8.759714777477254e-13	8.01084688608662e-13	-0.08	0.1
3	0.1	11261216.89432054	15309998.455609487	7.104027988338191e-09	6.5316793002915445e-09	8.5590698654677e-13	7.869493132881379e-13	-0.08	0.1
4	0.15000000000000002	12398785.425101215	16881400.043901484	6.452244897959183e-09	5.923679300291545e-09	7.773789033685763e-13	7.136963012399452e-13	-0.08	0.1
5	0.2	14832984.059082849	20348788.92076668	5.393385422740524e-09	4.914297376093295e-09	6.498054726193402e-13	5.920840212160596e-13	-0.08	0.1
6	0.25	18259327.162426032	25436989.684299517	4.3813224489795915e-09	3.93128279883382e-09	5.278701745758544e-13	4.736485299799783e-13	-0.08	0.1
7	0.30000000000000004	22826583.186591014	32249511.55623168	3.504685714285714e-09	3.1008221574344023e-09	4.2225129087779686e-13	3.7359303101619305e-13	-0.08	0.1
8	0.35000000000000003	28449950.482156165	41077253.979583524	2.8119556851311946e-09	2.4344373177842567e-09	3.387898415820716e-13	2.9330570093786225e-13	-0.08	0.1
9	0.4	35053653.55135412	51596637.644184776	2.282215743440233e-09	1.938110787172012e-09	2.7496575222171484e-13	2.335073237556641e-13	-0.08	0.1
10	0.45	42699823.972154245	65139032.903757565	1.873544023323615e-09	1.5351778425655974e-09	2.2572819558115841e-13	1.849611858512768e-13	-0.08	0.1
11	0.5	50647041.79931368	80112858.69773397	1.5795591836734695e-09	1.2482390670553934e-09	1.9030833538234574e-13	1.503902490428185e-13	-0.08	0.1
12	0.55	58784212.24014122	96147377.39107035	1.3609096209912537e-09	1.0400699708454811e-09	1.639650145772595e-13	1.2530963504162423e-13	-0.08	0.1
13	0.6000000000000001	66233605.73432408	111808693.044391	1.2078460641399415e-09	8.943848396501456e-10	1.4552362218553512e-13	1.077572095964031e-13	-0.08	0.1
14	0.65	73301248.89941275	127238733.99314469	1.0913865889212827e-09	7.859241982507289e-10	1.314923601109979e-13	9.468966243984685e-14	-0.08	0.1
15	0.7000000000000001	79345251.31393884	142191490.06732333	1.008251895043732e-09	7.032769679300291e-10	1.2147613193297976e-13	8.473216481084689e-14	-0.08	0.1
16	0.75	84571496.2004468	156191655.81369933	9.45945189504373e-10	6.402390670553936e-10	1.139692999402859e-13	7.713723699462574e-14	-0.08	0.1
17	0.8	89113592.55083114	168401413.982718	8.977306122448978e-10	5.938192419825073e-10	1.0816031472830093e-13	7.154448698584426e-14	-0.08	0.1
18	0.8500000000000001	93711750.30599757	178774327.38113856	8.536816326530612e-10	5.593644314868804e-10	1.0285320875338086e-13	6.739330499841933e-14	-0.08	0.1
19	0.9	96693259.66227835	189628482.97213623	8.273586005830904e-10	5.273469387755102e-10	9.968175910639642e-14	6.353577575608557e-14	-0.08	0.1
20	0.9500000000000001	99321256.48628615	195798607.14693463	8.054670553935859e-10	5.107288629737609e-10	9.70442235413959e-14	6.153359794864589e-14	-0.08	0.1
21	1.0	102420467.3717654	206362958.14983276	7.810938775510204e-10	4.845830903790088e-10	9.410769609048438e-14	5.838350486494082e-14	-0.08	0.1
22	-0.05	100886507.0914685	200362170.68754014	7.929702623906704e-10	4.990962099125365e-10	9.553858583020125e-14	6.013207348343814e-14	-0.08	0.1
23	-0.1	100025662.56065696	201345433.62644845	7.997947521865889e-10	4.966588921282799e-10	9.63608135164565e-14	5.983842073834698e-14	-0.08	0.1
24	-0.15000000000000002	94387909.54170954	188283600.11417782	8.475661807580176e-10	5.311137026239067e-10	1.0211640732024309e-13	6.39896027257719e-14	-0.08	0.1
25	-0.2	83631203.46033247	164653699.18777242	9.565807580174928e-10	6.0733527696793e-10	1.1525069373704732e-13	7.317292493589518e-14	-0.08	0.1
26	-0.25	70134543.81875435	138143798.43087977	1.14066472303207e-09	7.238833819241982e-10	1.3742948470265905e-13	8.721486529207208e-14	-0.08	0.1
27	-0.3	56200210.38212866	109396628.15990406	1.4234822157434401e-09	9.141049562682217e-10	1.715038814148723e-13	1.1013312726123152e-13	-0.08	0.1
28	-0.35000000000000003	44618466.58167912	86866671.05643041	1.7929795918367343e-09	1.1511895043731778e-09	2.1602163757069088e-13	1.3869753064737082e-13	-0.08	0.1
29	-0.4	34888357.25677831	67861933.61005703	2.2930285714285715e-09	1.4735801749271136e-09	2.762685025817556e-13	1.7753978011170044e-13	-0.08	0.1
30	-0.45	26942617.72274397	52810178.96953947	2.9692734693877552e-09	1.8935743440233234e-09	3.5774379149250063e-13	2.281414872317257e-13	-0.08	0.1
31	-0.5	21603876.85664222	41963346.3015978	3.703039067055393e-09	2.3830320699708453e-09	4.4614928518739674e-13	2.8711229758684883e-13	-0.08	0.1
32	-0.55	17605796.464673948	33892744.778738685	4.543958017492711e-09	2.9504839650145767e-09	5.47464821384664e-13	3.5547999578488876e-13	-0.08	0.1
33	-0.6000000000000001	14604980.000119224	28166747.143087074	5.477583673469388e-09	3.550285714285715e-09	6.599498401770347e-13	4.2774526678141143e-13	-0.08	0.1
34	-0.6500000000000001	12859831.584946126	24461560.405077733	6.2209212827988326e-09	4.088046647230321e-09	7.49508588289016e-13	4.925357406301592e-13	-0.08	0.1
35	-0.7000000000000001	11649113.750369346	21807962.767513134	6.86747521865889e-09	4.585481049562682e-09	8.274066528504686e-13	5.524675963328532e-13	-0.08	0.1
36	-0.7500000000000001	10819028.87387473	19920804.637888562	7.394379008746354e-09	5.019877551020407e-09	8.908890371983558e-13	6.048045242193262e-13	-0.08	0.1
37	-0.8	10177491.898063665	18494653.8048841	7.86048279883382e-09	5.406967930029155e-09	9.47046120341424e-13	6.514419192806211e-13	-0.08	0.1
38	-0.8500000000000001	9737231.026735654	17459700.16146405	8.21588804664723e-09	5.7274752186588924e-09	9.898660297165338e-13	6.900572552601076e-13	-0.08	0.1
39	-0.9000000000000001	9403685.696473151	16689438.261729319	8.507302623906706e-09	5.991813411078717e-09	1.0249762197477959e-12	7.219052302504478e-13	-0.08	0.1
40	-0.9500000000000001	9169916.68475698	16109503.291880716	8.724179591836733e-09	6.207516034985423e-09	1.0511059749200885e-12	7.478934981910148e-13	-0.08	0.1
41	-1.0	8961168.097405545	15622409.549436959	8.927407580174928e-09	6.401061224489795e-09	1.075591274719871e-12	7.71212195721662e-13	-0.08	0.1
42	-1.05	8815708.513095828	15282004.214803496	9.07471020408163e-09	6.5436443148688044e-09	1.0933385788050157e-12	7.883908813094945e-13	-0.08	0.1
43	-1.1	8687586.780886905	14971249.091031307	9.208541107871718e-09	6.679469387755101e-09	1.10946278408093e-12	8.047553479223014e-13	-0.08	0.1
44	-1.1500000000000001	8579984.971268307	14743582.028476179	9.324025655976676e-09	6.782612244897958e-09	1.1233765850574308e-12	8.171821981804769e-13	-0.08	0.1
45	-1.2000000000000002	8514669.310599746	14551298.204887372	9.395549854227404e-09	6.872239067055393e-09	1.1319939583406511e-12	8.279806104886016e-13	-0.08	0.1
46	-1.2500000000000002	8432656.753992604	14340004.43160487	9.486927113702625e-09	6.973498542274052e-09	1.1430032667111597e-12	8.40180547261934e-13	-0.08	0.1
47	0.0	10777433.123356678	14711622.181523403	7.422917784256559e-09	6.797346938775511e-09	8.943274438863325e-13	8.189574625030736e-13	-0.08	0.1
48	0.05	10976779.790436313	14881158.97763401	7.2881119533527696e-09	6.719906705539358e-09	8.780857775123819e-13	8.096273139204045e-13	-0.08	0.1
49	0.1	11089657.455676934	15025828.654737124	7.213928862973762e-09	6.655206997084548e-09	8.691480557799714e-13	8.018321683234395e-13	-0.08	0.1
50	0.15000000000000002	11997495.566523142	16288284.591947606	6.6680583090378996e-09	6.13938192419825e-09	8.033805191611927e-13	7.396845691805121e-13	-0.08	0.1
51	0.2	14195445.207236947	19455363.27076988	5.635610495626822e-09	5.139970845481049e-09	6.78989216340581e-13	6.192735958410903e-13	-0.08	0.1
52	0.25	17562634.0878951	24350038.548311755	4.555125364431486e-09	4.106769679300292e-09	5.488102848712635e-13	4.947915276265412e-13	-0.08	0.1
53	0.30000000000000004	21701526.19304615	30587312.061923705	3.6863766763848393e-09	3.2693294460641396e-09	4.441417682391373e-13	3.9389511398363125e-13	-0.08	0.1
54	0.35000000000000003	27061357.486055117	38832885.000317015	2.9562448979591837e-09	2.5751370262390662e-09	3.561740840914679e-13	3.1025747304085133e-13	-0.08	0.1
55	0.4	33356673.279651456	49144203.133193694	2.398320699708455e-09	2.034827988338192e-09	2.8895430116969337e-13	2.451599985949629e-13	-0.08	0.1
56	0.45	40469493.3172242	61336747.68601308	1.976797667638484e-09	1.6303440233236151e-09	2.381683936913836e-13	1.9642699076188133e-13	-0.08	0.1
57	0.5	48112125.097136006	75508748.44799803	1.6627825072886295e-09	1.3243498542274052e-09	2.0033524184200355e-13	1.595602234008922e-13	-0.08	0.1
58	0.55	55742084.7864737	90091983.12679593	1.4351813411078715e-09	1.1099766763848396e-09	1.729134145913098e-13	1.3373212968492043e-13	-0.08	0.1
59	0.6000000000000001	62787394.19500338	104957160.34271728	1.2741411078717198e-09	9.527696793002915e-10	1.5351097685201443e-13	1.1479152762654114e-13	-0.08	0.1
60	0.65	69406503.57150084	120174621.08206211	1.1526297376093296e-09	8.321224489795918e-10	1.388710527240156e-13	1.0025571674452914e-13	-0.08	0.1
61	0.7000000000000001	75275755.06191048	132915856.12536718	1.0627591836734692e-09	7.523556851311953e-10	1.2804327514138182e-13	9.06452632688187e-14	-0.08	0.1
62	0.75	79695530.5445319	147344364.82980222	1.0038204081632654e-09	6.786822157434403e-10	1.2094221785099584e-13	8.176894165583618e-14	-0.08	0.1
63	0.8	84579420.81590782	157198115.45582873	9.45856559766764e-10	6.361399416909621e-10	1.1395862165864626e-13	7.664336646879062e-14	-0.08	0.1
64	0.8500000000000001	87830259.70101863	169158841.6318157	9.108478134110787e-10	5.911603498542274e-10	1.0974070041097334e-13	7.12241385366539e-14	-0.08	0.1
65	0.9	91758826.77110587	176123234.91655973	8.718507288629738e-10	5.677842565597667e-10	1.0504225648951491e-13	6.840774175418876e-14	-0.08	0.1
66	0.9500000000000001	94102541.59167726	184285744.98721287	8.501364431486882e-10	5.426355685131195e-10	1.0242607748779376e-13	6.537777933893006e-14	-0.08	0.1
67	1.0	96579454.19937603	190589438.12233287	8.28333527696793e-10	5.246880466472304e-10	9.979922020443289e-14	6.321542730689522e-14	-0.08	0.1
68	-0.05	95304780.79900418	185535781.90079516	8.394122448979591e-10	5.389795918367347e-10	1.0113400540939266e-13	6.493730022129334e-14	-0.08	0.1
69	-0.1	94112353.13808452	186263223.0597129	8.500478134110785e-10	5.368746355685131e-10	1.0241539920615404e-13	6.468369103235098e-14	-0.08	0.1
70	-0.15000000000000002	89617908.95029473	176847879.8878073	8.926787172011661e-10	5.654577259475219e-10	1.0755165267483929e-13	6.812743686114721e-14	-0.08	0.1
71	-0.2	78956576.18503922	151753796.05705592	1.0132151603498543e-09	6.589620991253644e-10	1.2207411570480173e-13	7.939302399100776e-14	-0.08	0.1
72	-0.25	66296847.517250724	126916701.20182347	1.2066938775510201e-09	7.879183673469387e-10	1.453848045242193e-13	9.492992377673961e-14	-0.08	0.1
73	-0.3	53683334.06371883	102211706.36930907	1.4902204081632653e-09	9.783615160349855e-10	1.7954462748955003e-13	1.1787488144999825e-13	-0.08	0.1
74	-0.35000000000000003	42657447.020197	81296188.32273878	1.875405247813411e-09	1.2300699708454807e-09	2.2595243949559169e-13	1.4820120130668443e-13	-0.08	0.1
75	-0.4	33556324.731304824	64139243.86750291	2.3840513119533528e-09	1.5591078717201165e-09	2.8723509782570517e-13	1.8784432189398995e-13	-0.08	0.1
76	-0.45	26277484.103271283	50288683.43347086	3.044431486880466e-09	1.9885189504373177e-09	3.667989743229477e-13	2.3958059643823103e-13	-0.08	0.1
77	-0.5	21081641.88498151	40116959.064327486	3.79477084548105e-09	2.4927113702623907e-09	4.572013066844639e-13	3.0032667111595066e-13	-0.08	0.1
78	-0.55	17211997.615410708	32720640.14164317	4.647920699708455e-09	3.0561749271137026e-09	5.599904457480067e-13	3.682138466402051e-13	-0.08	0.1
79	-0.6000000000000001	14357111.165060738	27264893.945126824	5.572151603498541e-09	3.6677201166180753e-09	6.713435666865712e-13	4.41893989953985e-13	-0.08	0.1
80	-0.6500000000000001	12734105.200786768	23809226.318149578	6.282341690962099e-09	4.20005247813411e-09	7.569086374653131e-13	5.060304190523024e-13	-0.08	0.1
81	-0.7000000000000001	11583188.909316126	21375191.317310043	6.906560932944606e-09	4.678320699708455e-09	8.32115775053567e-13	5.636530963504162e-13	-0.08	0.1
82	-0.7500000000000001	10723783.475868989	19496545.757767636	7.460053644314867e-09	5.129113702623908e-09	8.988016438933575e-13	6.179655063402298e-13	-0.08	0.1
83	-0.8	10153336.09614588	18232771.35998401	7.879183673469386e-09	5.48462973760933e-09	9.492992377673958e-13	6.607987635673892e-13	-0.08	0.1
84	-0.8500000000000001	9742275.625167225	17281198.86175847	8.211633819241981e-09	5.78663556851312e-09	9.893534721978292e-13	6.971850082545928e-13	-0.08	0.1
85	-0.9000000000000001	9417912.595181325	16552935.612458618	8.494451311953352e-09	6.041224489795919e-09	1.0234278689100425e-12	7.278583722645685e-13	-0.08	0.1
86	-0.9500000000000001	9154199.962956183	15972105.160712909	8.739158017492711e-09	6.260915451895043e-09	1.052910604517194e-12	7.543271628789208e-13	-0.08	0.1
87	-1.0	8980068.437023018	15540909.745826837	8.908618075801747e-09	6.4346297376093296e-09	1.0733274790122587e-12	7.752565948926903e-13	-0.08	0.1
88	-1.05	8820618.955432987	15172573.648911072	9.069658309037901e-09	6.590839650145772e-09	1.0927299167515543e-12	7.940770662826231e-13	-0.08	0.1
89	-1.1	8696207.743529312	14891715.951155173	9.199412244897958e-09	6.715142857142857e-09	1.1083629210720432e-12	8.090533562822719e-13	-0.08	0.1
90	-1.1500000000000001	8604194.030344961	14670018.673265755	9.297791253644315e-09	6.816623906705538e-09	1.120215813692086e-12	8.212799887597034e-13	-0.08	0.1
91	-1.2000000000000002	8532779.805522276	14509195.784465263	9.375608163265306e-09	6.892180758017493e-09	1.1295913449717236e-12	8.303832238575293e-13	-0.08	0.1
92	-1.2500000000000002	8474538.582375234	14368995.812464079	9.440041982507288e-09	6.959428571428571e-09	1.1373544557237697e-12	8.384853700516351e-13	-0.08	0.1
